Event.Date,Injury.Severity,Aircraft.damage,Make,Model,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Fatality Flag,Risk Score
1990-01-01,Non-Fatal,Substantial,CESSNA,150F,Personal,0.0,0.0,0.0,2.0,0,0.0
1990-01-03,Non-Fatal,Substantial,AERONCA,11CC,Personal,0.0,0.0,0.0,1.0,0,0.0
1990-01-03,Non-Fatal,Substantial,OTHER,ACROSPORT II,Personal,0.0,0.0,0.0,2.0,0,0.0
1990-01-03,Non-Fatal,Substantial,MOONEY,MARK 22,Personal,0.0,0.0,0.0,5.0,0,0.0
1990-01-04,Non-Fatal,Destroyed,CESSNA,172E,Personal,0.0,0.0,2.0,0.0,0,2.0
1990-01-05,Non-Fatal,Destroyed,PIPER,PA-30,Personal,0.0,2.0,0.0,0.0,0,4.0
1990-01-05,Non-Fatal,Destroyed,CESSNA,185,Personal,0.0,0.0,0.0,1.0,0,0.0
1990-01-06,Non-Fatal,Substantial,MOONEY,M20B,Personal,0.0,0.0,1.0,0.0,0,1.0
1990-01-06,Non-Fatal,Substantial,OTHER,THROP T-18,Personal,0.0,0.0,1.0,0.0,0,1.0
1990-01-06,Non-Fatal,Substantial,CESSNA,172,Personal,0.0,0.0,0.0,2.0,0,0.0
1990-01-06,Non-Fatal,Substantial,PIPER,PA-22,Personal,0.0,0.0,0.0,2.0,0,0.0
1990-01-07,Fatal(1),Destroyed,CESSNA,182P,Personal,1.0,0.0,0.0,0.0,1,5.0
1990-01-07,Fatal(1),Destroyed,OTHER,FLYBABY,Personal,1.0,0.0,0.0,0.0,1,5.0
1990-01-07,Non-Fatal,Substantial,CESSNA,172,Personal,0.0,0.0,0.0,4.0,0,0.0
1990-01-07,Non-Fatal,Substantial,OTHER,ROTORWAY EXEC,Personal,0.0,0.0,0.0,1.0,0,0.0
1990-01-07,Non-Fatal,Substantial,PIPER,PA-23-250,Personal,0.0,0.0,0.0,1.0,0,0.0
1990-01-07,Non-Fatal,Substantial,CESSNA,172B,Personal,0.0,0.0,0.0,2.0,0,0.0
1990-01-08,Non-Fatal,Destroyed,BEECH,V35B,Personal,0.0,0.0,2.0,0.0,0,2.0
1990-01-08,Non-Fatal,Destroyed,CESSNA,150L,Personal,0.0,1.0,0.0,0.0,0,2.0
1990-01-08,Non-Fatal,Substantial,CESSNA,172A,Personal,0.0,0.0,0.0,1.0,0,0.0
1990-01-08,Non-Fatal,Substantial,SCHWEIZER,SGS 2-33A,Personal,0.0,0.0,1.0,1.0,0,1.0
1990-01-08,Non-Fatal,Substantial,PIPER,PA-46,Personal,0.0,0.0,0.0,2.0,0,0.0
1990-01-09,Non-Fatal,Substantial,CESSNA,177B,Business,0.0,0.0,0.0,1.0,0,0.0
1990-01-09,Non-Fatal,Substantial,MITSUBISHI,MU-2B-25,Business,0.0,0.0,0.0,1.0,0,0.0
1990-01-10,Non-Fatal,Substantial,MOONEY,M20K,Personal,0.0,0.0,2.0,0.0,0,2.0
1990-01-10,Non-Fatal,Substantial,CESSNA,172,Personal,0.0,0.0,0.0,1.0,0,0.0
1990-01-10,Non-Fatal,Substantial,PIPER,PA-28-140,Personal,0.0,0.0,0.0,2.0,0,0.0
1990-01-11,Fatal(1),Destroyed,OTHER,AIRCOMMANDER 532,Business,1.0,0.0,0.0,0.0,1,5.0
1990-01-11,Fatal(1),Destroyed,BELL,UH-1B,Other Work Use,1.0,0.0,0.0,0.0,1,5.0
1990-01-11,Non-Fatal,Substantial,CESSNA,150H,Personal,0.0,0.0,2.0,1.0,0,2.0
1990-01-11,Non-Fatal,Substantial,PIPER,PA-28-140,Personal,0.0,0.0,0.0,1.0,0,0.0
1990-01-11,Non-Fatal,Substantial,CESSNA,182M,Personal,0.0,0.0,0.0,1.0,0,0.0
1990-01-12,Fatal(3),Destroyed,CESSNA,182P,Personal,3.0,0.0,0.0,0.0,1,15.0
1990-01-12,Non-Fatal,Substantial,BEECH,E185,Personal,0.0,0.0,0.0,1.0,0,0.0
1990-01-12,Non-Fatal,Substantial,CESSNA,172,Personal,0.0,0.0,0.0,3.0,0,0.0
1990-01-12,Non-Fatal,Substantial,BOEING,A75N1,Personal,0.0,0.0,0.0,2.0,0,0.0
1990-01-13,Fatal(1),Destroyed,CESSNA,R172K,Personal,1.0,0.0,0.0,0.0,1,5.0
1990-01-13,Non-Fatal,Substantial,CESSNA,150,Personal,0.0,0.0,0.0,1.0,0,0.0
